command,expected,label,context_has_staged,context_has_unstaged,context_is_init,edit_distance,flag_delta,arg_delta
mkdir test,git stash,UNKNOWN,0,1,1,7,0,0
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
git log --oneline -v,git log --oneline,EXTRA_ARG,0,0,1,3,1,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
git commit -m 'message',git log --oneline,WRONG_ORDER,0,0,1,14,0,1
git init --verbose,git init,WRONG_FLAG,0,0,0,10,1,0
git add hello.txt --all,git add hello.txt,EXTRA_ARG,0,1,1,6,1,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
git pull feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git status -s,git status,DEPRECATED_USAGE,0,1,1,3,1,0
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
git nit,git init,TYPO,0,0,0,1,0,0
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git branch,git branch feature,MISSING_ARG,0,0,1,8,0,-1
git diff --dry-run,git diff,WRONG_FLAG,0,1,1,10,1,0
git branch feature,git branch feature,CORRECT,0,0,1,0,0,0
git log=--oneline,git log --oneline,SYNTAX_ERROR,0,0,1,1,-1,0
git commit -m 'message',git diff,WRONG_ORDER,0,1,1,18,1,1
git branch feature --verbose,git branch feature,WRONG_FLAG,0,0,1,10,1,0
git status,git status,CORRECT,0,1,1,0,0,0
git stash -v,git stash,EXTRA_ARG,0,1,1,3,1,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git init,git init,SYNTAX_ERROR,0,0,0,0,0,0
"git commit -m ""Add hello.wtxt""","git commit -m ""Add hello.txt""",TYPO,1,0,1,1,0,0
git branch featre,git branch feature,TYPO,0,0,1,1,0,0
$ git switch feature,git switch feature,SYNTAX_ERROR,0,0,1,2,0,1
git status,git status,CORRECT,0,1,1,0,0,0
git diff,git diff,CORRECT,0,1,1,0,0,0
git commit -m 'message',git stash,WRONG_ORDER,0,1,1,17,1,1
git stash --force,git stash,EXTRA_ARG,0,1,1,8,1,0
git push origin main,git branch feature,WRONG_ORDER,0,0,1,16,0,1
git init --dry-run,git init,WRONG_FLAG,0,0,0,10,1,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
gitgit init,git init,SYNTAX_ERROR,0,0,0,3,0,0
git init,git init,CORRECT,0,0,0,0,0,0
git merge main,git merge feature,WRONG_ORDER,0,0,1,6,0,0
git change feature,git switch feature,WRONG_SUBCOMMAND,0,0,1,6,0,0
gitgit init,git init,SYNTAX_ERROR,0,0,0,3,0,0
"git commit -m ""Add hello.txt"" --dry-run","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,10,1,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git merge main,git init,WRONG_ORDER,0,0,0,9,0,1
git push,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,24,-1,-2
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
git switch feature --all,git switch feature,EXTRA_ARG,0,0,1,6,1,0
git imzt,git init,TYPO,0,0,0,2,0,0
git stash,git stash,CORRECT,0,1,1,0,0,0
git push origin main,git add hello.txt,WRONG_ORDER,0,1,1,15,0,1
gi branch feature,git branch feature,TYPO,0,0,1,1,0,0
git show-diff,git diff,WRONG_SUBCOMMAND,0,1,1,5,0,0
git new,git init,WRONG_SUBCOMMAND,0,0,0,3,0,0
echo hello,git branch feature,UNKNOWN,0,0,1,15,0,-1
git status extra_file.txt,git status,EXTRA_ARG,0,1,1,15,0,1
git stash --dry-run,git stash,WRONG_FLAG,0,1,1,10,1,0
git include hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,6,0,0
git save,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,24,-1,-2
git stash,git stash,CORRECT,0,1,1,0,0,0
gitswitch feature,git switch feature,TYPO,0,0,1,1,0,-1
git merge=feature,git merge feature,SYNTAX_ERROR,0,0,1,1,0,-1
git push origin main,git diff,WRONG_ORDER,0,1,1,15,0,2
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git --stash,git stash,SYNTAX_ERROR,0,1,1,2,1,0
git stash,git stash,CORRECT,0,1,1,0,0,0
git switch feature -f,git switch feature,WRONG_FLAG,0,0,1,3,1,0
"gitcommit-m""Addhello.txt""","git commit -m ""Add hello.txt""",SYNTAX_ERROR,1,0,1,4,-1,-2
git switchm featupre,git switch feature,TYPO,0,0,1,2,0,0
git merge feakre,git merge feature,TYPO,0,0,1,2,0,0
git merge main,git log --oneline,WRONG_ORDER,0,0,1,11,-1,1
pip install requests,git status,UNKNOWN,0,1,1,13,0,1
git,git diff,MISSING_ARG,0,1,1,5,0,0
git commit -m 'message',git stash,WRONG_ORDER,0,1,1,17,1,1
git stash,git stash,CORRECT,0,1,1,0,0,0
git status -v,git status,WRONG_FLAG,0,1,1,3,1,0
git log --oneldxine,git log --oneline,TYPO,0,0,1,2,0,0
"git commit -m ""dd hllo.txt""","git commit -m ""Add hello.txt""",TYPO,1,0,1,2,0,0
git branch featsue,git branch feature,TYPO,0,0,1,2,0,0
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
git commit -m,"git commit -m ""Add hello.txt""",PARTIALLY_CORRECT,1,0,1,16,0,-2
gitgit log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,3,0,0
git branch feature,git branch feature,CORRECT,0,0,1,0,0,0
git merge feature,git merge feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git stash,git stash,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git init --verbose,git init,EXTRA_ARG,0,0,0,10,1,0
git create feature,git branch feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git commit -m 'message',git stash,WRONG_ORDER,0,1,1,17,1,1
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
git log --pretty=oneline,git log --oneline,DEPRECATED_USAGE,0,0,1,7,0,0
git status,git status,CORRECT,0,1,1,0,0,0
gitkdiff,git diff,TYPO,0,1,1,1,0,0
git stash -f,git stash,WRONG_FLAG,0,1,1,3,1,0
git switch feature,git add hello.txt,WRONG_ORDER,0,1,1,13,0,0
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git start,git init,WRONG_SUBCOMMAND,0,0,0,4,0,0
git init -v,git init,EXTRA_ARG,0,0,0,3,1,0
"git commit -w ""Add hello.txt""","git commit -m ""Add hello.txt""",WRONG_FLAG,1,0,1,1,0,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git new feature,git branch feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
glit stash,git stash,TYPO,0,1,1,1,0,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
gitgit add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,3,0,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
npm install,git diff,UNKNOWN,0,1,1,10,0,0
git new feature,git branch feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git add hello.txt,git add hello.txt,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git merge,git merge feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
git push origin main,git add hello.txt,WRONG_ORDER,0,1,1,15,0,1
git,git status,MISSING_ARG,0,1,1,7,0,0
git,git status,PARTIALLY_CORRECT,0,1,1,7,0,0
npm install,git stash,UNKNOWN,0,1,1,7,0,0
git commit -m 'message',git log --oneline,WRONG_ORDER,0,0,1,14,0,1
git commit -m 'message',git diff,WRONG_ORDER,0,1,1,18,1,1
git add -u hello.txt,git add hello.txt,DEPRECATED_USAGE,0,1,1,3,1,0
git,git stash,MISSING_ARG,0,1,1,6,0,0
git switch feature -v,git switch feature,WRONG_FLAG,0,0,1,3,1,0
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
"git commit -m ""Add","git commit -m ""Add hello.txt""",MISSING_ARG,1,0,1,11,0,-1
git init,git init,WRONG_CONTEXT_STATE,1,1,1,0,0,0
git diff --force,git diff,EXTRA_ARG,0,1,1,8,1,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
echo hello,git log --oneline,UNKNOWN,0,0,1,13,-1,0
git merge beature,git merge feature,TYPO,0,0,1,1,0,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
git history,git log --oneline,WRONG_SUBCOMMAND,0,0,1,12,-1,0
echo hello,git stash,UNKNOWN,0,1,1,9,0,0
git branch feature,git branch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git merge main,git log --oneline,WRONG_ORDER,0,0,1,11,-1,1
gitgit status,git status,SYNTAX_ERROR,0,1,1,3,0,0
git merge,git merge feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git swich featurje,git switch feature,TYPO,0,0,1,2,0,0
git show-log,git log --oneline,WRONG_SUBCOMMAND,0,0,1,11,-1,0
git stash -f,git stash,WRONG_FLAG,0,1,1,3,1,0
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
"git commit -m ""Add hello.txt"" extra_file.txt","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,15,0,1
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git,git init,MISSING_ARG,0,0,0,5,0,0
rm -rf test,git switch feature,UNKNOWN,0,0,1,14,1,0
git log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,0,0,0
git shelve,git stash,WRONG_SUBCOMMAND,0,1,1,5,0,0
git push origin main,git log --oneline,WRONG_ORDER,0,0,1,13,-1,2
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git init --force,git init,EXTRA_ARG,0,0,0,8,1,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git pull feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git merge main,"git commit -m ""Add hello.txt""",WRONG_ORDER,1,0,1,23,-1,-1
git init -f,git init,WRONG_FLAG,0,0,0,3,1,0
git branch feature --verbose,git branch feature,WRONG_FLAG,0,0,1,10,1,0
$ git init,git init,SYNTAX_ERROR,0,0,0,2,0,1
git join feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
git switch,git switch feature,MISSING_ARG,0,0,1,8,0,-1
git switch feature,git status,WRONG_ORDER,0,1,1,9,0,1
git init,git init,CORRECT,0,0,0,0,0,0
git status --verbose,git status,WRONG_FLAG,0,1,1,10,1,0
git add,git add hello.txt,PARTIALLY_CORRECT,0,1,1,10,0,-1
git push origin main,git init,WRONG_ORDER,0,0,0,13,0,2
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log o--oneine,git log --oneline,TYPO,0,0,1,2,-1,1
git status -v,git status,EXTRA_ARG,0,1,1,3,1,0
git ajd hello.txt,git add hello.txt,TYPO,0,1,1,1,0,0
git init -v,git init,WRONG_FLAG,0,0,0,3,1,0
git log --oneline,git log --oneline,TYPO,0,0,1,0,0,0
git init,git init,WRONG_CONTEXT_STATE,1,1,1,0,0,0
git add hello.txt,git add hello.txt,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log --oneline,git log --oneline,CORRECT,0,0,1,0,0,0
gitgit log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,3,0,0
git stash,git stash,CORRECT,0,1,1,0,0,0
git branch,git branch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git branch -m feature,git merge feature,PARTIALLY_CORRECT,0,0,1,9,1,0
git show-log,git log --oneline,WRONG_SUBCOMMAND,0,0,1,11,-1,0
python script.py,git switch feature,UNKNOWN,0,0,1,15,0,-1
python script.py,git init,UNKNOWN,0,0,0,12,0,0
git branch feature,git branch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
cd ..,git branch feature,UNKNOWN,0,0,1,16,0,-1
git switch feature extra_file.txt,git switch feature,EXTRA_ARG,0,0,1,15,0,1
git switch feature,git switch feature,WRONG_ORDER,0,0,1,0,0,0
git omerge f_ature,git merge feature,TYPO,0,0,1,2,0,0
git status --verbose,git status,WRONG_FLAG,0,1,1,10,1,0
git branch feature,git switch feature,PARTIALLY_CORRECT,0,0,1,4,0,0
npm install,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,25,-1,-2
git checkout feature,git switch feature,DEPRECATED_USAGE,0,0,1,8,0,0
git push,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,24,-1,-2
git diff -v,git diff,WRONG_FLAG,0,1,1,3,1,0
git branch,git branch feature,MISSING_ARG,0,0,1,8,0,-1
cd ..,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,25,-1,-2
git init -f,git init,WRONG_FLAG,0,0,0,3,1,0
git status -v,git status,EXTRA_ARG,0,1,1,3,1,0
git track hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
git switch feature,git diff,WRONG_ORDER,0,1,1,12,0,1
git,git status,PARTIALLY_CORRECT,0,1,1,7,0,0
git diff,git diff,SYNTAX_ERROR,0,1,1,0,0,0
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git sta,git stash,PARTIALLY_CORRECT,0,1,1,2,0,0
git switch,git switch feature,MISSING_ARG,0,0,1,8,0,-1
"git acommit -m ""Addm hello.txt""","git commit -m ""Add hello.txt""",TYPO,1,0,1,2,0,0
"git commit -m ""Add hello.txt"" --force","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,8,1,0
git log --oneline --force,git log --oneline,EXTRA_ARG,0,0,1,8,1,0
git switch feature,git add hello.txt,WRONG_ORDER,0,1,1,13,0,0
git diff,git diff,CORRECT,0,1,1,0,0,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
git merge,git merge feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git push origin main,git diff,WRONG_ORDER,0,1,1,15,0,2
git status --dry-run,git status,WRONG_FLAG,0,1,1,10,1,0
git diff extra_file.txt,git diff,EXTRA_ARG,0,1,1,15,0,1
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
gitmergefeature,git merge feature,SYNTAX_ERROR,0,0,1,2,0,-1
git switch feature,"git commit -m ""Add hello.txt""",WRONG_ORDER,1,0,1,20,-1,-1
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git,git init,MISSING_ARG,0,0,0,5,0,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git diff -f,git diff,WRONG_FLAG,0,1,1,3,1,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
git init,git init,WRONG_CONTEXT_STATE,1,1,1,0,0,0
git checkout feature,git switch feature,DEPRECATED_USAGE,0,0,1,8,0,0
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
cd ..,git diff,UNKNOWN,0,1,1,7,0,0
gitswitchfeature,git switch feature,SYNTAX_ERROR,0,0,1,2,0,-1
git stash,git stash,CORRECT,0,1,1,0,0,0
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
git add -u hello.txt,git add hello.txt,DEPRECATED_USAGE,0,1,1,3,1,0
git branch feature --verbose,git branch feature,WRONG_FLAG,0,0,1,10,1,0
git add hello.txt extra_file.txt,git add hello.txt,EXTRA_ARG,0,1,1,15,0,1
git switch feature extra_file.txt,git switch feature,EXTRA_ARG,0,0,1,15,0,1
git merge feature --dry-run,git merge feature,EXTRA_ARG,0,0,1,10,1,0
git diff -f,git diff,WRONG_FLAG,0,1,1,3,1,0
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git merge,git merge feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git track hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
init,git init,PARTIALLY_CORRECT,0,0,0,4,0,0
git push origin main,"git commit -m ""Add hello.txt""",WRONG_ORDER,1,0,1,23,-1,0
git stash --verbose,git stash,WRONG_FLAG,0,1,1,10,1,0
git history,git log --oneline,WRONG_SUBCOMMAND,0,0,1,12,-1,0
git status,git status,CORRECT,0,1,1,0,0,0
git merge main,git diff,WRONG_ORDER,0,1,1,10,0,1
git status,git status,CORRECT,0,1,1,0,0,0
git switch,git switch feature,MISSING_ARG,0,0,1,8,0,-1
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
git show,git status,WRONG_SUBCOMMAND,0,1,1,5,0,0
git track hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
git branch feature --force,git branch feature,EXTRA_ARG,0,0,1,8,1,0
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
git diff --force,git diff,EXTRA_ARG,0,1,1,8,1,0
git commit -m 'message',git init,WRONG_ORDER,0,0,0,17,1,1
git add hello.txt -v,git add hello.txt,WRONG_FLAG,0,1,1,3,1,0
girt stash,git stash,TYPO,0,1,1,1,0,0
git swigtch feature,git switch feature,TYPO,0,0,1,1,0,0
pip install requests,git status,UNKNOWN,0,1,1,13,0,1
git diff --force,git diff,EXTRA_ARG,0,1,1,8,1,0
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git branch -m feature,git merge feature,PARTIALLY_CORRECT,0,0,1,9,1,0
git switch feature,git switch feature,CORRECT,0,0,1,0,0,0
git stash --all,git stash,EXTRA_ARG,0,1,1,6,1,0
git switch feature,git switch feature,CORRECT,0,0,1,0,0,0
git commit -m 'message',git diff,WRONG_ORDER,0,1,1,18,1,1
gpiet diff,git diff,TYPO,0,1,1,2,0,0
git stash,git stash,SYNTAX_ERROR,0,1,1,0,0,0
git sta,git stash,PARTIALLY_CORRECT,0,1,1,2,0,0
"git commit -m ""Add hello.txt"" extra_file.txt","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,15,0,1
git move feature,git switch feature,WRONG_SUBCOMMAND,0,0,1,6,0,0
git switch feature,git merge feature,WRONG_ORDER,0,0,1,6,0,0
git diff --all,git diff,EXTRA_ARG,0,1,1,6,1,0
git stash save,git stash,DEPRECATED_USAGE,0,1,1,5,0,1
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
git commit -m 'message',git branch feature,WRONG_ORDER,0,0,1,16,1,0
git log --pretty=oneline,git log --oneline,DEPRECATED_USAGE,0,0,1,7,0,0
mkdir test,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,25,-1,-2
git --add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,2,1,0
git branch feature --verbose,git branch feature,EXTRA_ARG,0,0,1,10,1,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
git --merge feature,git merge feature,SYNTAX_ERROR,0,0,1,2,1,0
git stage hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
pwd,git switch feature,UNKNOWN,0,0,1,17,0,-1
git include hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,6,0,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
git sta,git stash,PARTIALLY_CORRECT,0,1,1,2,0,0
git add hello.txt --verbose,git add hello.txt,WRONG_FLAG,0,1,1,10,1,0
gitbranchfeature,git branch feature,SYNTAX_ERROR,0,0,1,2,0,-1
git merge feature -v,git merge feature,WRONG_FLAG,0,0,1,3,1,0
git init -v,git init,WRONG_FLAG,0,0,0,3,1,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git init,git init,WRONG_CONTEXT_STATE,1,1,1,0,0,0
git switch,git switch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git commit,"git commit -m ""Add hello.txt""",PARTIALLY_CORRECT,1,0,1,19,-1,-2
git add hello.txt -f,git add hello.txt,WRONG_FLAG,0,1,1,3,1,0
git status,git status,CORRECT,0,1,1,0,0,0
git,git status,PARTIALLY_CORRECT,0,1,1,7,0,0
gitylog --onelline,git log --oneline,TYPO,0,0,1,2,0,0
git push origin main,git switch feature,WRONG_ORDER,0,0,1,15,0,1
echo hello,git init,UNKNOWN,0,0,0,9,0,0
git merge main,"git commit -m ""Add hello.txt""",WRONG_ORDER,1,0,1,23,-1,-1
git status -f,git status,WRONG_FLAG,0,1,1,3,1,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
mkdir test,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,25,-1,-2
git --init,git init,SYNTAX_ERROR,0,0,0,2,1,0
git add hello.txt --all,git add hello.txt,EXTRA_ARG,0,1,1,6,1,0
git branch feature,git branch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git push,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,24,-1,-2
git switch feature,"git commit -m ""Add hello.txt""",WRONG_ORDER,1,0,1,20,-1,-1
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git merge wfeature,git merge feature,TYPO,0,0,1,1,0,0
git --add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,2,1,0
git branch feature --all,git branch feature,EXTRA_ARG,0,0,1,6,1,0
git commit,"git commit -m ""Add hello.txt""",PARTIALLY_CORRECT,1,0,1,19,-1,-2
git branch feature,git branch feature,CORRECT,0,0,1,0,0,0
rm -rf test,git switch feature,UNKNOWN,0,0,1,14,1,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git diff -f,git diff,WRONG_FLAG,0,1,1,3,1,0
git save,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,24,-1,-2
pwd,git switch feature,UNKNOWN,0,0,1,17,0,-1
"git commit -w ""Add hello.txt""","git commit -m ""Add hello.txt""",WRONG_FLAG,1,0,1,1,0,0
git branch,git branch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
echo hello,git merge feature,UNKNOWN,0,0,1,14,0,-1
git log --oneline,git log --oneline,CORRECT,0,0,1,0,0,0
gitgit add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,3,0,0
git push origin main,git log --oneline,WRONG_ORDER,0,0,1,13,-1,2
git add hello.txt --verbose,git add hello.txt,WRONG_FLAG,0,1,1,10,1,0
"git commit -m ""Add","git commit -m ""Add hello.txt""",MISSING_ARG,1,0,1,11,0,-1
ls -la,git branch feature,UNKNOWN,0,0,1,16,1,-1
git status -s,git status,DEPRECATED_USAGE,0,1,1,3,1,0
git save-work,git stash,WRONG_SUBCOMMAND,0,1,1,8,0,0
git snapshot,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,22,-1,-2
git changes,git diff,WRONG_SUBCOMMAND,0,1,1,7,0,0
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git include hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,6,0,0
git info,git status,WRONG_SUBCOMMAND,0,1,1,6,0,0
git merge main,git stash,WRONG_ORDER,0,1,1,9,0,1
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
cd ..,git add hello.txt,UNKNOWN,0,1,1,14,0,-1
git start,git init,WRONG_SUBCOMMAND,0,0,0,4,0,0
git init,git init,CORRECT,0,0,0,0,0,0
$ git add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,2,0,1
gitgit add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,3,0,0
git init --dry-run,git init,WRONG_FLAG,0,0,0,10,1,0
git changes,git diff,WRONG_SUBCOMMAND,0,1,1,7,0,0
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git branch feature,git switch feature,PARTIALLY_CORRECT,0,0,1,4,0,0
"gitcommit-m""Addhello.txt""","git commit -m ""Add hello.txt""",SYNTAX_ERROR,1,0,1,4,-1,-2
git,git diff,MISSING_ARG,0,1,1,5,0,0
git switch feature,git diff,WRONG_ORDER,0,1,1,12,0,1
pip install requests,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,23,-1,-1
git add hello.txt -v,git add hello.txt,WRONG_FLAG,0,1,1,3,1,0
git combine feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git commit,"git commit -m ""Add hello.txt""",PARTIALLY_CORRECT,1,0,1,19,-1,-2
git add hello.txt --dry-run,git add hello.txt,WRONG_FLAG,0,1,1,10,1,0
git log --oneline,git log --oneline,CORRECT,0,0,1,0,0,0
"gitcommit-m""Addhello.txt""","git commit -m ""Add hello.txt""",SYNTAX_ERROR,1,0,1,4,-1,-2
git log --oneline --verbose,git log --oneline,EXTRA_ARG,0,0,1,10,1,0
git diff --dry-run,git diff,WRONG_FLAG,0,1,1,10,1,0
git wstatus,git status,TYPO,0,1,1,1,0,0
gitlog--oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,-1,0
status,git status,PARTIALLY_CORRECT,0,1,1,4,0,0
mkdir test,git diff,UNKNOWN,0,1,1,8,0,0
git,git diff,MISSING_ARG,0,1,1,5,0,0
git ktatus,git status,TYPO,0,1,1,1,0,0
gir switch feature,git switch feature,TYPO,0,0,1,1,0,0
cd ..,git branch feature,UNKNOWN,0,0,1,16,0,-1
git status --all,git status,EXTRA_ARG,0,1,1,6,1,0
$ git stash,git stash,SYNTAX_ERROR,0,1,1,2,0,1
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git push origin main,git switch feature,WRONG_ORDER,0,0,1,15,0,1
git stash,git stash,SYNTAX_ERROR,0,1,1,0,0,0
git log=--oneline,git log --oneline,SYNTAX_ERROR,0,0,1,1,-1,0
git merge feature,git merge feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git add,git add hello.txt,MISSING_ARG,0,1,1,10,0,-1
git include hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,6,0,0
git switch feature,git branch feature,WRONG_ORDER,0,0,1,4,0,0
git merge feature -v,git merge feature,EXTRA_ARG,0,0,1,3,1,0
git init,git init,CORRECT,0,0,0,0,0,0
git,git init,MISSING_ARG,0,0,0,5,0,0
ls -la,git add hello.txt,UNKNOWN,0,1,1,15,1,-1
git switcd xeature,git switch feature,TYPO,0,0,1,2,0,0
git branch=feature,git branch feature,SYNTAX_ERROR,0,0,1,1,0,-1
git,git status,PARTIALLY_CORRECT,0,1,1,7,0,0
git branch,git branch feature,MISSING_ARG,0,0,1,8,0,-1
git,git stash,MISSING_ARG,0,1,1,6,0,0
